Rank,Player,Team(s),First,Last,Count
1,Bill Russell*\russebi01,BOS,1957,1969,11
2,Sam Jones*\jonessa01,BOS,1959,1969,10
3,John Havlicek*\havlijo01,BOS,1963,1976,8
,Tom Heinsohn*\heinsto01,BOS,1957,1965,8
,K.C. Jones*\joneskc01,BOS,1959,1966,8
,Tom Sanders*\sandeto01,BOS,1961,1969,8
7,Robert Horry\horryro01,HOU/LAL/SAS,1994,2007,7
,Frank Ramsey*\ramsefr01,BOS,1957,1964,7
9,Kareem Abdul-Jabbar*\abdulka01,MIL/LAL,1971,1988,6
,Bob Cousy*\cousybo01,BOS,1957,1963,6
,Michael Jordan*\jordami01,CHI,1991,1998,6
,Jim Loscutoff\loscuji01,BOS,1957,1964,6
,Scottie Pippen*\pippesc01,CHI,1991,1998,6
14,Kobe Bryant\bryanko01,LAL,2000,2010,5
,Michael Cooper\coopemi01,LAL,1980,1988,5
,Tim Duncan\duncati01,SAS,1999,2014,5
,Derek Fisher\fishede01,LAL,2000,2010,5
,Ron Harper\harpero01,CHI/LAL,1996,2001,5
,Magic Johnson*\johnsma02,LAL,1980,1988,5
,Steve Kerr\kerrst01,CHI/SAS,1996,2003,5
,Slater Martin*\martisl01,MNL/STL,1950,1958,5
,George Mikan*\mikange01,MNL,1949,1954,5
,Don Nelson*\nelsodo01,BOS,1966,1976,5
,Jim Pollard*\pollaji01,MNL,1949,1954,5
,Dennis Rodman*\rodmade01,DET/CHI,1989,1998,5
,Larry Siegfried\siegfla01,BOS,1964,1969,5
27,Manu Ginobili\ginobma01,SAS,2003,2014,4
,Horace Grant\grantho01,CHI/LAL,1991,2001,4
,Vern Mikkelsen*\mikkeve01,MNL,1950,1954,4
,Shaquille O'Neal*\onealsh01,LAL/MIA,2000,2006,4
,Robert Parish*\parisro01,BOS/CHI,1981,1997,4
,Tony Parker\parketo01,SAS,2003,2014,4
,Will Perdue\perduwi01,CHI/SAS,1991,1999,4
,Kurt Rambis\rambiku01,LAL,1982,1988,4
,John Salley\sallejo01,DET/CHI/LAL,1989,2000,4
,Pep Saul\saulpe01,ROC/MNL,1951,1954,4
,Bill Sharman*\sharmbi01,BOS,1957,1961,4
38,B.J. Armstrong\armstbj01,CHI,1991,1993,3
,Larry Bird*\birdla01,BOS,1981,1986,3
,Bruce Bowen\bowenbr01,SAS,2003,2007,3
,Randy Brown\brownra02,CHI,1996,1998,3
,Jud Buechler\buechju01,CHI,1996,1998,3
,Bill Cartwright\cartwbi01,CHI,1991,1993,3
,Sam Cassell\cassesa01,HOU/BOS,1994,2008,3
,Gene Conley\conlege01,BOS,1959,1961,3
,Stephen Curry\curryst01,GSW,2015,2018,3
,James Edwards\edwarja01,DET/CHI,1989,1996,3
,Mario Elie\eliema01,HOU/SAS,1994,1999,3
,Rick Fox\foxri01,LAL,2000,2002,3
,Devean George\georgde01,LAL,2000,2002,3
,A.C. Green\greenac01,LAL,1987,2000,3
,Draymond Green\greendr01,GSW,2015,2018,3
,Bob Harrison\harribo02,MNL,1950,1953,3
,Udonis Haslem\hasleud01,MIA,2006,2013,3
,Gerald Henderson\hendege01,BOS/DET,1981,1990,3
,Andre Iguodala\iguodan01,GSW,2015,2018,3
,LeBron James\jamesle01,MIA/CLE,2012,2016,3
,Dennis Johnson*\johnsde01,SEA/BOS,1979,1986,3
,James Jones\jonesja02,MIA/CLE,2012,2016,3
,Stacey King\kingst01,CHI,1991,1993,3
,Toni Kukoc\kukocto01,CHI,1996,1998,3
,Shaun Livingston\livinsh01,GSW,2015,2018,3
,Luc Longley\longllu01,CHI,1996,1998,3
,Clyde Lovellette*\lovelcl01,MNL/BOS,1954,1964,3
,Kevin McHale*\mchalke01,BOS,1981,1986,3
,Willie Naulls\naullwi01,BOS,1964,1966,3
,John Paxson\paxsojo01,CHI,1991,1993,3
,Byron Scott\scottby01,LAL,1985,1988,3
,Brian Shaw\shawbr01,LAL,2000,2002,3
,Paul Silas\silaspa01,BOS/SEA,1974,1979,3
,Klay Thompson\thompkl01,GSW,2015,2018,3
,Dwyane Wade\wadedw01,MIA,2006,2013,3
,Jamaal Wilkes*\wilkeja01,GSW/LAL,1975,1982,3
,Scott Williams\willisc01,CHI,1991,1993,3
,James Worthy*\worthja01,LAL,1985,1988,3    
